id,No_voie,Code_type_de_voie,Type_de_voie,Code_voie,Voie,Code_postal,Surface_premier_lot,Surface_reelle_bati,Nombre_lots,Nombre_pieces_principales,Surface_terrain,Code_type_local,code_commune
1952,38,1,AV,330,VICTOR TASSINI,7130.0,"102,62",82,2,3,,2,1952
1953,987,1,AV,450,DE LA REPUBLIQUE,7500.0,"55,54",57,2,3,,2,1953
1954,2,5,CHE,1229,DE LAPRAS,7100.0,"54,95",55,2,3,,2,1954
1955,201,2,ALL,346,DES ONDINES,7500.0,"79,02",78,1,3,,2,1955
1956,55,0,RUE,38,AUGUSTE RENOIR,7500.0,"96,75",96,1,5,401,1,1956
1957,1,12,PL,1260,DE LA LIBERTE,7100.0,"58,13",58,1,3,,2,1957
1958,19,12,PL,710,DES CORDELIERS,7100.0,"79,1",70,1,3,,2,1958
1959,18,0,RUE,970,DE FONTANES,7100.0,"82,44",86,2,3,,2,1959
1960,201,2,ALL,346,DES ONDINES,7500.0,"119,42",116,1,4,,2,1960
1961,19,0,RUE,1490,MONTGOLFIER,7100.0,"32,41",34,1,2,,2,1961
1962,61,1,AV,1205,JEAN JAURES,7100.0,"98,72",96,1,5,,2,1962
1963,31,15,BD,1940,DE LA REPUBLIQUE,7100.0,"134,78",140,3,5,,2,1963
1964,5,0,RUE,260,DOC CADET,7300.0,"93,1",97,1,3,,2,1964
1965,907,0,RUE,208,HENRI DUNANT,7500.0,"57,17",53,2,3,,2,1965
1966,56,0,RUE,2250,DE TOURNON,7100.0,39,43,1,2,,2,1966
1967,18,1,AV,875,DE L EUROPE,7100.0,"75,81",76,2,3,,2,1967
1968,20,1,AV,875,DE L EUROPE,7100.0,"83,6",82,2,4,,2,1968
1969,14,0,RUE,2270,DE LA VALETTE,7100.0,"75,33",73,2,3,,2,1969
1970,345,0,RUE,557,HECTOR GUIMARD,7500.0,"48,37",48,1,2,,2,1970
1971,21,2,ALL,131,DES RESIDENCES DE CHAPOTTE,7300.0,"54,2",54,2,2,,2,1971
1972,90,2,ALL,194,GERMAIN SOUFFLOT,7500.0,"65,17",64,1,3,,2,1972
1973,80,2,ALL,352,PALLADIO,7500.0,"50,3",50,1,2,,2,1973
1974,113,1,AV,475,DU HUIT MAI 1945,7300.0,"70,72",70,2,3,,2,1974
1975,22,0,RUE,1688,DU PILAT,7100.0,"67,98",68,2,4,,2,1975
1976,113,1,AV,475,DU HUIT MAI 1945,7300.0,"70,24",70,2,3,,2,1976
1977,27,1,AV,690,DE NIMES,7300.0,"56,57",52,2,2,,2,1977
1978,286,0,RUE,266,LEON JOUHAUX,7500.0,115,100,1,5,440,1,1978
1979,21,2,ALL,131,DES RESIDENCES DE CHAPOTTE,7300.0,"63,6",63,2,3,,2,1979
1980,16,0,RUE,610,MARC SAUZET,7300.0,"77,44",78,3,4,,2,1980
