id,Valeur_fonciere,date,id_local
366,61700,2020-02-19 00:00:00,366
367,70020,2020-02-20 00:00:00,367
368,226750,2020-03-03 00:00:00,368
369,81860,2020-03-03 00:00:00,369
370,69450,2020-03-03 00:00:00,370
371,33000,2020-03-02 00:00:00,371
372,83000,2020-02-21 00:00:00,372
373,62700,2020-02-15 00:00:00,373
374,44000,2020-02-25 00:00:00,374
375,43000,2020-02-15 00:00:00,375
376,101000,2020-03-09 00:00:00,376
377,77000,2020-02-28 00:00:00,377
378,70200,2020-03-06 00:00:00,378
379,43000,2020-03-06 00:00:00,379
380,47200,2020-03-31 00:00:00,380
381,65000,2020-03-14 00:00:00,381
382,70000,2020-04-21 00:00:00,382
383,46890,2020-03-18 00:00:00,383
384,54090,2020-02-26 00:00:00,384
385,43500,2020-04-30 00:00:00,385
386,77400,2020-04-30 00:00:00,386
387,128490,2020-05-05 00:00:00,387
388,130000,2020-04-30 00:00:00,388
389,87000,2020-05-04 00:00:00,389
390,155000,2020-04-24 00:00:00,390
391,19400,2020-04-29 00:00:00,391
392,51400,2020-05-07 00:00:00,392
393,35000,2020-05-12 00:00:00,393
394,110000,2020-04-15 00:00:00,394
395,64500,2020-05-18 00:00:00,395
396,86000,2020-05-15 00:00:00,396
397,45000,2020-05-15 00:00:00,397
398,87000,2020-05-19 00:00:00,398
399,111300,2020-05-12 00:00:00,399
400,230000,2020-05-13 00:00:00,400
401,67500,2020-05-20 00:00:00,401
402,105000,2020-05-27 00:00:00,402
403,28500,2020-05-13 00:00:00,403
404,27000,2020-05-28 00:00:00,404
405,113000,2020-05-26 00:00:00,405
406,48700,2020-04-30 00:00:00,406
407,29900,2020-05-13 00:00:00,407
408,29500,2020-05-07 00:00:00,408
409,46937,2020-05-27 00:00:00,409
410,55500,2020-05-29 00:00:00,410
411,142500,2020-05-14 00:00:00,411
412,35000,2020-05-16 00:00:00,412
413,32500,2020-06-03 00:00:00,413
414,64050,2020-05-26 00:00:00,414
415,60000,2020-05-29 00:00:00,415
416,45710,2020-05-29 00:00:00,416
417,55500,2020-05-29 00:00:00,417
418,35500,2020-05-30 00:00:00,418
419,20140,2020-06-06 00:00:00,419
420,25650,2020-05-26 00:00:00,420
421,126000,2020-05-18 00:00:00,421
422,61000,2020-05-20 00:00:00,422
423,54000,2020-06-11 00:00:00,423
424,30500,2020-06-03 00:00:00,424
425,80000,2020-05-28 00:00:00,425
426,28350,2020-05-20 00:00:00,426
427,78500,2020-06-06 00:00:00,427
428,57950,2020-01-25 00:00:00,428
429,55000,2020-06-16 00:00:00,429
430,63000,2020-05-29 00:00:00,430
431,62000,2020-06-03 00:00:00,431
432,134300,2020-06-10 00:00:00,432
433,56000,2020-06-20 00:00:00,433
434,130000,2020-06-12 00:00:00,434
435,41000,2020-05-28 00:00:00,435
436,272000,2020-06-11 00:00:00,436
437,117000,2020-06-15 00:00:00,437
438,75000,2020-06-15 00:00:00,438
439,206000,2020-06-03 00:00:00,439
440,83000,2020-06-13 00:00:00,440
441,35000,2020-06-26 00:00:00,441
442,300000,2020-06-18 00:00:00,442
443,33000,2020-06-06 00:00:00,443
444,57500,2020-06-26 00:00:00,444
445,63000,2020-06-05 00:00:00,445
446,25000,2020-06-26 00:00:00,446
447,225500,2020-06-10 00:00:00,447
448,55800,2020-06-29 00:00:00,448
449,135000,2020-06-23 00:00:00,449
450,95000,2020-06-11 00:00:00,450
451,64000,2020-06-17 00:00:00,451
452,135000,2020-06-30 00:00:00,452
453,90000,2020-06-30 00:00:00,453
454,75000,2020-01-29 00:00:00,454
455,41500,2020-01-20 00:00:00,455
456,41080,2020-01-16 00:00:00,456
457,,2020-02-12 00:00:00,457
458,310000,2020-01-16 00:00:00,458
459,159550,2020-02-07 00:00:00,459
460,150000,2020-01-22 00:00:00,460
461,165500,2020-02-18 00:00:00,461
462,67200,2020-02-21 00:00:00,462
463,230000,2020-02-12 00:00:00,463
464,220000,2020-02-05 00:00:00,464
465,53320,2020-02-07 00:00:00,465
466,49000,2020-02-10 00:00:00,466
467,110000,2020-02-24 00:00:00,467
468,238000,2020-02-27 00:00:00,468
469,55000,2020-02-24 00:00:00,469
470,53260,2020-02-22 00:00:00,470
471,120250,2020-02-25 00:00:00,471
472,119390,2020-02-18 00:00:00,472
473,117110,2020-02-20 00:00:00,473
474,85000,2020-02-21 00:00:00,474
475,140150,2020-02-28 00:00:00,475
476,113000,2020-03-16 00:00:00,476
477,26630,2020-03-26 00:00:00,477
478,64000,2020-04-02 00:00:00,478
479,56900,2020-03-02 00:00:00,479
480,114275,2020-04-22 00:00:00,480
481,123000,2020-04-03 00:00:00,481
482,98000,2020-04-16 00:00:00,482
483,43000,2020-03-27 00:00:00,483
484,30250,2020-03-04 00:00:00,484
485,50740,2020-04-27 00:00:00,485
486,146192,2020-04-30 00:00:00,486
487,40000,2020-04-27 00:00:00,487
488,80000,2020-05-06 00:00:00,488
489,65000,2020-04-30 00:00:00,489
490,112000,2020-04-22 00:00:00,490
491,85000,2020-05-14 00:00:00,491
492,47000,2020-05-13 00:00:00,492
493,67340,2020-05-14 00:00:00,493
494,65500,2020-05-29 00:00:00,494
495,125000,2020-05-28 00:00:00,495
496,153240,2020-05-26 00:00:00,496
497,75000,2020-05-30 00:00:00,497
498,23000,2020-05-29 00:00:00,498
499,107871,2020-05-28 00:00:00,499
500,33000,2020-06-04 00:00:00,500
501,187000,2020-05-30 00:00:00,501
502,51300,2020-05-11 00:00:00,502
503,45500,2020-05-28 00:00:00,503
504,59800,2020-05-29 00:00:00,504
505,75000,2020-06-08 00:00:00,505
506,32000,2020-05-16 00:00:00,506
507,36100,2020-05-18 00:00:00,507
508,50000,2020-05-15 00:00:00,508
509,81200,2020-05-18 00:00:00,509
510,148000,2020-05-29 00:00:00,510
511,46780,2020-05-22 00:00:00,511
512,233400,2020-06-10 00:00:00,512
513,165000,2020-05-15 00:00:00,513
514,55000,2020-06-05 00:00:00,514
515,34500,2020-06-06 00:00:00,515
516,125000,2020-06-03 00:00:00,516
517,144000,2020-06-09 00:00:00,517
518,179000,2020-06-19 00:00:00,518
519,181000,2020-06-05 00:00:00,519
520,278800,2020-06-08 00:00:00,520
521,220000,2020-06-05 00:00:00,521
522,136000,2020-06-05 00:00:00,522
523,30000,2020-06-23 00:00:00,523
524,85000,2020-06-08 00:00:00,524
525,39000,2020-05-29 00:00:00,525
526,19800,2020-06-23 00:00:00,526
527,21000,2020-06-26 00:00:00,527
528,202000,2020-06-15 00:00:00,528
529,44600,2020-06-12 00:00:00,529
530,39000,2020-06-15 00:00:00,530
531,212000,2020-06-05 00:00:00,531
532,152600,2020-06-06 00:00:00,532
533,66500,2020-06-06 00:00:00,533
534,69000,2020-06-06 00:00:00,534
535,76000,2020-06-29 00:00:00,535
536,51500,2020-06-15 00:00:00,536
537,141500,2020-06-26 00:00:00,537
538,153000,2020-06-15 00:00:00,538
539,85700,2020-06-24 00:00:00,539
540,19000,2020-06-23 00:00:00,540
541,190000,2020-06-15 00:00:00,541
542,202100,2020-06-22 00:00:00,542
543,64600,2020-06-30 00:00:00,543
544,90250,2020-06-29 00:00:00,544
545,616900,2020-01-03 00:00:00,545
546,212550,2020-01-03 00:00:00,546
547,229500,2020-01-02 00:00:00,547
548,191500,2020-01-13 00:00:00,548
549,140650,2020-01-13 00:00:00,549
550,228500,2020-01-10 00:00:00,550
551,112070,2020-01-15 00:00:00,551
552,212200,2020-01-06 00:00:00,552
553,195500,2020-01-14 00:00:00,553
554,158525,2020-01-10 00:00:00,554
555,171700,2020-01-16 00:00:00,555
556,340750,2020-01-08 00:00:00,556
557,179000,2020-01-09 00:00:00,557
558,121300,2020-01-09 00:00:00,558
559,317800,2020-01-03 00:00:00,559
560,262089,2020-01-10 00:00:00,560
561,314600,2020-01-09 00:00:00,561
562,767000,2020-01-17 00:00:00,562
563,116260,2020-01-17 00:00:00,563
564,414000,2020-01-10 00:00:00,564
565,413826,2020-01-14 00:00:00,565
566,327500,2020-01-20 00:00:00,566
567,643815,2020-01-06 00:00:00,567
568,652000,2020-01-14 00:00:00,568
569,113700,2020-01-20 00:00:00,569
570,1320000,2020-01-17 00:00:00,570
571,483314,2020-01-17 00:00:00,571
572,178140,2020-02-03 00:00:00,572
573,118110,2020-01-20 00:00:00,573
574,622850,2020-01-28 00:00:00,574
575,137009,2020-01-24 00:00:00,575
576,114500,2020-01-24 00:00:00,576
577,50925,2020-01-31 00:00:00,577
578,1852500,2020-01-24 00:00:00,578
579,233470,2020-01-24 00:00:00,579
580,151500,2020-02-07 00:00:00,580
581,117800,2020-01-21 00:00:00,581
582,1022000,2020-02-05 00:00:00,582
583,200150,2020-01-31 00:00:00,583
584,121900,2020-01-24 00:00:00,584
585,294000,2020-02-14 00:00:00,585
586,301150,2020-01-27 00:00:00,586
587,78500,2020-02-06 00:00:00,587
588,376150,2020-01-30 00:00:00,588
589,199500,2020-01-24 00:00:00,589
590,149870,2020-02-05 00:00:00,590
591,107600,2020-02-06 00:00:00,591
592,228800,2020-02-05 00:00:00,592
593,151592,2020-02-06 00:00:00,593
594,417000,2020-02-06 00:00:00,594
595,130940,2020-02-14 00:00:00,595
596,397400,2020-02-13 00:00:00,596
597,77000,2020-02-12 00:00:00,597
598,291550,2020-02-13 00:00:00,598
599,262580,2020-02-12 00:00:00,599
600,1196000,2020-01-30 00:00:00,600
601,325100,2020-02-10 00:00:00,601
602,148113,2020-01-30 00:00:00,602
603,142000,2020-02-04 00:00:00,603
604,175000,2020-02-24 00:00:00,604
605,194460,2020-02-14 00:00:00,605
606,274102,2020-02-17 00:00:00,606
607,205250,2020-01-31 00:00:00,607
608,149450,2020-02-28 00:00:00,608
609,136500,2020-02-25 00:00:00,609
610,211500,2020-02-04 00:00:00,610
611,43560,2020-02-11 00:00:00,611
612,291230,2020-02-14 00:00:00,612
613,153600,2020-02-10 00:00:00,613
614,409000,2020-02-17 00:00:00,614
615,138500,2020-02-06 00:00:00,615
616,302200,2020-02-29 00:00:00,616
617,234820,2020-02-20 00:00:00,617
618,417145,2020-02-21 00:00:00,618
619,309800,2020-02-13 00:00:00,619
620,1076000,2020-02-12 00:00:00,620
621,135500,2020-02-12 00:00:00,621
622,144400,2020-01-15 00:00:00,622
623,238000,2020-01-21 00:00:00,623
624,120625,2020-02-27 00:00:00,624
625,194030,2020-02-17 00:00:00,625
626,532500,2020-02-21 00:00:00,626
627,357100,2020-03-04 00:00:00,627
628,"168782,9",2020-02-19 00:00:00,628
629,297000,2020-02-17 00:00:00,629
630,335300,2020-03-16 00:00:00,630
631,208000,2020-02-21 00:00:00,631
632,245600,2020-03-16 00:00:00,632
633,692000,2020-03-09 00:00:00,633
634,230000,2020-03-06 00:00:00,634
635,145825,2020-03-03 00:00:00,635
636,166850,2020-03-06 00:00:00,636
637,202500,2020-02-28 00:00:00,637
638,377600,2020-03-10 00:00:00,638
639,205370,2020-03-05 00:00:00,639
640,196600,2020-03-02 00:00:00,640
641,302500,2020-02-28 00:00:00,641
642,79900,2020-03-05 00:00:00,642
643,616000,2020-03-06 00:00:00,643
644,1755000,2020-03-03 00:00:00,644
645,122500,2020-03-27 00:00:00,645
646,299250,2020-03-16 00:00:00,646
647,685500,2020-03-06 00:00:00,647
648,718626,2020-03-17 00:00:00,648
649,251750,2020-03-26 00:00:00,649
650,92500,2020-03-31 00:00:00,650
651,723000,2020-03-20 00:00:00,651
652,78850,2020-03-12 00:00:00,652
653,72500,2020-03-23 00:00:00,653
654,244370,2020-04-02 00:00:00,654
655,798000,2020-03-31 00:00:00,655
656,308000,2020-04-09 00:00:00,656
657,152500,2020-04-07 00:00:00,657
658,383450,2020-04-20 00:00:00,658
659,525000,2020-04-23 00:00:00,659
660,455240,2020-04-15 00:00:00,660
661,123900,2020-04-21 00:00:00,661
662,133000,2020-03-26 00:00:00,662
663,33609,2020-02-11 00:00:00,663
664,67991,2020-02-11 00:00:00,664
665,319000,2020-04-16 00:00:00,665
666,162300,2020-04-24 00:00:00,666
667,610000,2020-04-27 00:00:00,667
668,120560,2020-05-06 00:00:00,668
669,695000,2020-04-30 00:00:00,669
670,378000,2020-05-05 00:00:00,670
671,292500,2020-05-05 00:00:00,671
672,85100,2020-04-30 00:00:00,672
673,165000,2020-04-27 00:00:00,673
674,204700,2020-05-15 00:00:00,674
675,337000,2020-05-18 00:00:00,675
676,121700,2020-05-15 00:00:00,676
677,266000,2020-05-14 00:00:00,677
678,324250,2020-04-30 00:00:00,678
679,190450,2020-05-06 00:00:00,679
680,455000,2020-05-11 00:00:00,680
681,178525,2020-05-19 00:00:00,681
682,201400,2020-05-19 00:00:00,682
683,208500,2020-05-04 00:00:00,683
684,63000,2020-03-30 00:00:00,684
685,88550,2020-05-19 00:00:00,685
686,228000,2020-05-19 00:00:00,686
687,155550,2020-05-11 00:00:00,687
688,146430,2020-04-28 00:00:00,688
689,196100,2020-05-20 00:00:00,689
690,387000,2020-05-14 00:00:00,690
691,185000,2020-05-15 00:00:00,691
692,261250,2020-05-25 00:00:00,692
693,514000,2020-05-14 00:00:00,693
694,148750,2020-05-29 00:00:00,694
695,74000,2020-05-26 00:00:00,695
696,198200,2020-05-14 00:00:00,696
